场景,风电档位,光伏档位,日产量(吨/天),吨氨成本(元/吨),eta_self,eta_green,eta_grid,日购电量(kWh),日售电量(kWh),日发电量(kWh),日用电量(kWh),分类,求解状态,绿电惩罚(元)
W4S0,4,0,63,4170.31,0.6053,0.7105,0.1974,267984.86,161720.57,819420.00,925684.28,全满足,Optimal,0.00
W4S0,4,0,54,3512.60,0.6000,0.8163,0.2000,147565.77,163884.00,819420.00,803101.77,部分满足,Optimal,0.00
W4S0,4,0,45,2927.01,0.6000,0.9711,0.2000,19520.74,163884.00,819420.00,675056.74,部分满足,Optimal,0.00
W4S0,4,0,36,1978.31,0.4031,1.0000,0.2984,0.00,244542.80,819420.00,574877.20,部分满足,Optimal,201647.00
W4S1,4,1,72,6405.18,0.9649,0.5214,0.0176,505710.40,9850.40,560860.00,1056720.00,全满足,Optimal,0.00
W4S1,4,1,63,5573.14,0.9649,0.5951,0.0176,374900.38,9850.40,560860.00,925909.98,全满足,Optimal,0.00
W4S1,4,1,54,4827.45,0.9413,0.6822,0.0293,253608.62,16454.32,560860.00,798014.30,全满足,Optimal,0.00
W4S1,4,1,45,4242.17,0.8432,0.7702,0.0784,154188.56,43967.80,560860.00,671080.76,全满足,Optimal,0.00
W4S1,4,1,36,3611.67,0.6000,0.8339,0.2000,89369.14,112172.00,560860.00,538057.14,部分满足,Optimal,0.00
W4S2,4,2,72,7751.74,1.0000,0.3739,0.0000,661620.00,0.00,395100.00,1056720.00,全满足,Optimal,0.00
W4S2,4,2,63,6994.54,1.0000,0.4276,0.0000,528826.65,0.00,395100.00,923926.65,全满足,Optimal,0.00
W4S2,4,2,54,6228.87,1.0000,0.4976,0.0000,398953.24,0.00,395100.00,794053.24,全满足,Optimal,0.00
W4S2,4,2,45,5413.20,1.0000,0.5915,0.0000,272838.71,0.00,395100.00,667938.71,全满足,Optimal,0.00
W4S2,4,2,36,4761.96,0.9493,0.7108,0.0253,156681.96,10007.83,395100.00,541774.13,全满足,Optimal,0.00
W4S3,4,3,72,8300.25,1.0000,0.3127,0.0000,726260.00,0.00,330460.00,1056720.00,全满足,Optimal,0.00
W4S3,4,3,63,7611.48,1.0000,0.3575,0.0000,593902.86,0.00,330460.00,924362.86,全满足,Optimal,0.00
W4S3,4,3,54,6914.03,1.0000,0.4157,0.0000,464429.90,0.00,330460.00,794889.90,全满足,Optimal,0.00
W4S3,4,3,45,6103.98,1.0000,0.4940,0.0000,338510.00,0.00,330460.00,668970.00,全满足,Optimal,0.00
W4S3,4,3,36,5326.08,0.9984,0.6053,0.0008,215301.91,256.20,330460.00,545505.71,全满足,Optimal,0.00
W5S0,5,0,72,5467.52,0.7462,0.5914,0.1269,431786.20,90826.20,715760.00,1056720.00,全满足,Optimal,0.00
W5S0,5,0,63,4538.24,0.7430,0.6738,0.1285,301945.14,91973.60,715760.00,925731.54,全满足,Optimal,0.00
W5S0,5,0,54,3857.06,0.6337,0.7306,0.1831,215555.43,131088.59,715760.00,800226.84,全满足,Optimal,0.00
W5S0,5,0,45,3320.52,0.6000,0.8583,0.2000,94547.41,143152.00,715760.00,667155.41,部分满足,Optimal,0.00
W5S0,5,0,36,2622.49,0.5969,1.0000,0.2016,0.00,144275.65,715760.00,571484.35,部分满足,Optimal,2809.11
W5S1,5,1,72,6991.09,1.0000,0.4327,0.0000,599520.00,0.00,457200.00,1056720.00,全满足,Optimal,0.00
W5S1,5,1,63,6196.66,1.0000,0.4945,0.0000,467334.49,0.00,457200.00,924534.49,全满足,Optimal,0.00
W5S1,5,1,54,5436.83,1.0000,0.5748,0.0000,338181.35,0.00,457200.00,795381.35,全满足,Optimal,0.00
W5S1,5,1,45,4755.91,1.0000,0.6826,0.0000,212556.53,0.00,457200.00,669756.53,全满足,Optimal,0.00
W5S1,5,1,36,4190.71,0.6000,0.6775,0.2000,174085.82,91440.00,457200.00,539845.82,部分满足,Optimal,0.00
W5S2,5,2,72,8395.73,1.0000,0.2758,0.0000,765280.00,0.00,291440.00,1056720.00,部分满足,Optimal,7672.80
W5S2,5,2,63,7720.95,1.0000,0.3154,0.0000,632682.72,0.00,291440.00,924122.72,全满足,Optimal,0.00
W5S2,5,2,54,7046.28,1.0000,0.3668,0.0000,503198.01,0.00,291440.00,794638.01,全满足,Optimal,0.00
W5S2,5,2,45,6288.73,1.0000,0.4361,0.0000,376780.00,0.00,291440.00,668220.00,全满足,Optimal,0.00
W5S2,5,2,36,5522.21,1.0000,0.5345,0.0000,253806.52,0.00,291440.00,545246.52,全满足,Optimal,0.00
W5S3,5,3,72,8944.24,1.0000,0.2146,0.0000,829920.00,0.00,226800.00,1056720.00,部分满足,Optimal,27064.80
W5S3,5,3,63,8347.46,1.0000,0.2454,0.0000,697562.86,0.00,226800.00,924362.86,部分满足,Optimal,15152.66
W5S3,5,3,54,7756.44,1.0000,0.2850,0.0000,568915.32,0.00,226800.00,795715.32,部分满足,Optimal,3574.38
W5S3,5,3,45,7066.29,1.0000,0.3380,0.0000,444144.00,0.00,226800.00,670944.00,全满足,Optimal,0.00
W5S3,5,3,36,6325.90,1.0000,0.4136,0.0000,321547.83,0.00,226800.00,548347.83,全满足,Optimal,0.00
